leaf_category,products,strict_precision_at_10,family_precision_at_10,context_precision_at_10,strict_hit_at_10,graded_ndcg_at_10
Barstools,34,0.8352941176470587,0.8382352941176471,0.8470588235294118,1.0,0.8518013119965587
Chairs,54,0.7203703703703703,0.8277777777777778,0.8351851851851853,1.0,0.7888060489372962
Mattresses,11,0.6636363636363636,0.8272727272727273,1.0,1.0,0.7816247147955434
Table & Chair Sets,16,0.6625,0.78125,0.7875,1.0,0.7665537538592385
Home Office Desk Chairs,11,0.6454545454545454,0.6454545454545454,0.6636363636363636,1.0,0.7115587464473367
Home Office Desks,21,0.6285714285714286,0.6333333333333334,0.6476190476190476,1.0,0.6725581495526692
TV & Media Furniture,13,0.5769230769230769,0.5923076923076922,0.8307692307692308,1.0,0.6830428845348866
Bed Frames,12,0.4666666666666666,0.8416666666666667,0.9583333333333334,1.0,0.680991364432527
Beds,23,0.4652173913043478,0.7043478260869565,0.8,0.9565217391304348,0.6067027016383889
Sofas & Couches,18,0.43333333333333335,0.8111111111111111,0.9222222222222223,1.0,0.6203123818064608
Room Dividers,7,0.39999999999999997,0.42857142857142855,0.4857142857142857,1.0,0.6319666446753985
Computer Gaming Chairs,5,0.38,0.6799999999999999,0.6799999999999999,1.0,0.7221502072091804
Dressers,10,0.38,0.5900000000000001,0.64,1.0,0.5896713191834093
End Tables,30,0.3766666666666667,0.5533333333333333,0.59,0.9666666666666667,0.4642258421182444
Ottomans,15,0.3733333333333333,0.5266666666666666,0.5866666666666667,0.9333333333333333,0.468155119227252
Nightstands,10,0.31,0.38,0.41,0.8,0.39332245988175707
Bean Bags,7,0.3,0.34285714285714286,0.6,0.7142857142857143,0.5723996727134615
Television Stands & Entertainment Centers,7,0.2857142857142857,0.2857142857142857,0.8142857142857143,0.8571428571428571,0.5551218894607496
Sofa & Console Tables,12,0.2833333333333333,0.6,0.6416666666666667,1.0,0.47444256518521516
Bedroom Sets,5,0.24,0.38,0.78,1.0,0.5618399215690645
